,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects
34653,PG41228,"Guy Deverell, v. 1 of 2","Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],88,"{'England -- Fiction', 'Country homes -- Fiction', 'Revenge -- Fiction'}"
28253,PG35468,"The Tenants of Malory, Volume 2","Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],109,{'Mystery fiction'}
18241,PG26451,"A Stable for Nightmares; or, Weird Tales","Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],203,{'Fantasy fiction'}
30146,PG37172,"In a Glass Darkly, v. 1/3","Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],325,"{'Ireland -- Fiction', 'Paranormal fiction'}"
34654,PG41229,"Guy Deverell, v. 2 of 2","Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],154,"{'England -- Fiction', 'Country homes -- Fiction', 'Revenge -- Fiction'}"
7,PG10007,Carmilla,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],12084,"{'Young women -- Fiction', 'Vampires -- Fiction'}"
45622,PG510,The Purcell Papers — Volume 2,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],190,"{'Ireland -- Fiction', 'Fantasy fiction, English'}"
417,PG10377,The Evil Guest,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],132,"{'Gothic fiction', 'Horror tales', 'Mystery fiction'}"
72107,PG75028,All in the dark,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],329,"{'Spiritualism -- Fiction', 'Aunts -- Fiction', 'Young women -- Fiction', 'Mate selection -- Fiction', 'Love stories', 'Young men -- Fiction', 'Conflict of generations -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction'}"
45733,PG511,The Purcell Papers — Volume 3,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],205,"{'Ireland -- Fiction', 'Fantasy fiction, English'}"
75374,PG9983,Wylder's Hand,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],204,"{'Missing persons -- Fiction', 'Detective and mystery stories', 'Inheritance and succession -- Fiction'}"
8622,PG17769,The House by the Church-Yard,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],278,"{'Ireland -- Social life and customs -- 18th century -- Fiction', 'Country life -- Ireland -- Fiction'}"
30148,PG37174,"In a Glass Darkly, v. 3/3","Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],148,"{'Ireland -- Fiction', 'Paranormal fiction'}"
